No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
145,bmg2008vkye,2008-11-01T00:31:25.143741Z,-0.60443985,98.895531,2.989742,MLv,20,6,146.70738,"Southern Sumatra, Indonesia",BMG
139,bmg2008vlfx,2008-11-01T04:26:50.151996Z,0.48677173,98.328484,3.8534235,MLv,16,7,251.06932,"Northern Sumatra, Indonesia",BMG
132,bmg2008vlwz,2008-11-01T13:04:38.742915Z,0.10376831,98.546005,4.6574509,MLv,12,23,97.066574,"Northern Sumatra, Indonesia",BMG
125,bmg2008vney,2008-11-02T06:14:15.323865Z,-4.952435,103.52953,2.8161124,MLv,18,8,195.20656,"Southern Sumatra, Indonesia",BMG
124,bmg2008vnll,2008-11-02T09:32:00.183849Z,-6.0246997,103.68754,4.5386735,MLv,12,20,216.92251,"Southwest of Sumatra, Indonesia",BMG
113,bmg2008vqaw,2008-11-03T19:37:18.020484Z,-5.9698324,103.95901,3.777004,MLv,12,10,255.55697,"Southern Sumatra, Indonesia",BMG
112,bmg2008vqbo,2008-11-03T19:57:54.571326Z,1.5327252,97.436081,4.2320457,MLv,27,9,201.65689,"Northern Sumatra, Indonesia",BMG
111,bmg2008vqch,2008-11-03T20:20:28.118837Z,1.6179022,97.609711,4.1366778,MLv,27,7,192.03265,"Northern Sumatra, Indonesia",BMG
110,bmg2008vqcv,2008-11-03T20:35:50.855883Z,1.3042829,97.047951,4.2813123,MLv,53,8,234.84822,"Northern Sumatra, Indonesia",BMG
108,bmg2008vqje,2008-11-03T23:49:18.686641Z,1.9673783,97.464478,4.2515517,MLv,30,5,213.79349,"Northern Sumatra, Indonesia",BMG
107,bmg2008vqld,2008-11-04T00:48:24.081198Z,-4.8043203,102.84812,3.1216234,MLv,84,6,273.66809,"Southern Sumatra, Indonesia",BMG
105,bmg2008vqpf,2008-11-04T02:51:41.961779Z,-3.7671461,102.00196,4.8157669,MLv,7,21,186.42635,"Southern Sumatra, Indonesia",BMG
97,bmg2008vrys,2008-11-04T20:48:54.01192Z,-5.8502584,103.64214,4.572056,MLv,30,17,214.51614,"Southern Sumatra, Indonesia",BMG
86,bmg2008vuwu,2008-11-06T11:16:57.31253Z,0.80702031,98.821701,4.1266229,MLv,10,6,189.89758,"Northern Sumatra, Indonesia",BMG
73,bmg2008vxlk,2008-11-07T20:57:21.143222Z,-6.6745939,103.29979,3.558812,MLv,30,5,262.83358,"Southwest of Sumatra, Indonesia",BMG
71,bmg2008vxoq,2008-11-07T22:36:26.841863Z,3.598536,97.192276,3.4270603,MLv,142,8,241.32354,"Northern Sumatra, Indonesia",BMG
70,bmg2008vybr,2008-11-08T05:11:10.158939Z,-5.5509791,102.69524,3.5491742,MLv,29,7,303.64375,"Southern Sumatra, Indonesia",BMG
63,bmg2008vzic,2008-11-08T21:34:17.87456Z,-1.0232671,100.06579,3.6641625,MLv,10,7,258.71177,"Southern Sumatra, Indonesia",BMG
57,bmg2008wawm,2008-11-09T17:59:07.691077Z,1.1267797,97.028923,4.7739444,MLv,9,15,224.2187,"Northern Sumatra, Indonesia",BMG
55,bmg2008wbuf,2008-11-10T05:59:04.136349Z,-3.1661372,103.89532,3.2174742,MLv,33,11,132.26891,"Southern Sumatra, Indonesia",BMG
54,bmg2008wbvf,2008-11-10T06:29:32.561365Z,-5.04146,103.04691,4.16432,MLv,25,17,231.53625,"Southern Sumatra, Indonesia",BMG
43,bmg2008wkia,2008-11-14T22:07:59.358433Z,-3.3909395,100.28915,4.5464477,MLv,10,11,228.71218,"Southern Sumatra, Indonesia",BMG
28,bmg2008wwpm,2008-11-21T15:37:35.945508Z,-4.3954172,102.12586,4.4078248,MLv,10,7,207.28306,"Southern Sumatra, Indonesia",BMG
27,bmg2008wyhb,2008-11-22T13:39:08.645402Z,-2.4735756,100.81345,4.2107799,MLv,10,8,170.29814,"Southern Sumatra, Indonesia",BMG
25,bmg2008wyxt,2008-11-22T22:05:56.97888Z,-4.7304573,101.1042,4.8597935,mb,10,32,217.09052,"Southern Sumatra, Indonesia",BMG
23,bmg2008xbfn,2008-11-24T04:19:14.600545Z,1.2592666,100.17884,4.028629,MLv,10,7,157.87955,"Northern Sumatra, Indonesia",BMG
11,bmg2008xhca,2008-11-27T09:24:35.286598Z,-0.89927071,103.44462,4.0938639,MLv,61,7,132.71594,"Southern Sumatra, Indonesia",BMG
7,bmg2008xkbs,2008-11-29T00:41:34.74936Z,1.7973018,98.958733,4.0358264,MLv,5,9,131.88277,"Northern Sumatra, Indonesia",BMG
1,bmg2008xnlz,2008-11-30T21:19:13.677536Z,1.8442833,98.734604,4.6560538,MLv,10,16,138.75629,"Northern Sumatra, Indonesia",BMG
81,bmg2008xnyn,2008-12-01T03:39:38.682466Z,-2.8950477,102.8905,4.1548967,MLv,10,8,146.67854,"Southern Sumatra, Indonesia",BMG
79,bmg2008xpbc,2008-12-01T18:06:34.216411Z,-1.3390365,97.242912,4.877618,MLv,10,16,180.52337,"Southwest of Sumatra, Indonesia",BMG
73,bmg2008xuth,2008-12-04T21:01:30.358978Z,4.148716,96.618492,4.3904553,MLv,10,9,167.87277,"Northern Sumatra, Indonesia",BMG
71,bmg2008xwap,2008-12-05T13:51:48.072616Z,2.8451722,95.590935,4.3030037,MLv,10,8,223.20099,"Northern Sumatra, Indonesia",BMG
38,bmg2008yspg,2008-12-17T22:26:16.140115Z,0.50580543,98.227768,4.4161756,MLv,10,8,205.5047,"Northern Sumatra, Indonesia",BMG
37,bmg2008ysqv,2008-12-17T23:14:10.779277Z,-5.8553243,104.14333,4.5067208,MLv,10,15,205.3006,"Southern Sumatra, Indonesia",BMG
34,bmg2008ywjj,2008-12-20T00:02:53.275639Z,-4.4390411,102.25082,4.7672042,MLv,10,7,210.36264,"Southern Sumatra, Indonesia",BMG
30,bmg2008yxzu,2008-12-20T21:29:58.351994Z,1.0743754,98.363838,4.6137272,MLv,10,7,187.15794,"Northern Sumatra, Indonesia",BMG
20,bmg2008zcfg,2008-12-23T04:50:25.394169Z,-0.98948222,100.03011,3.0315676,MLv,6,6,265.87445,"Southern Sumatra, Indonesia",BMG
19,bmg2008zebf,2008-12-24T05:04:52.546788Z,3.7989881,95.867233,3.7678009,MLv,10,7,229.20441,"Northern Sumatra, Indonesia",BMG
7,bmg2008zkhm,2008-12-27T15:07:22.274152Z,0.20640978,95.619057,4.7046496,MLv,10,8,266.02231,"Northern Sumatra, Indonesia",BMG
3,bmg2008zpbe,2008-12-30T05:38:59.899544Z,-4.5267463,102.09875,4.5440236,MLv,20,10,216.8935,"Southern Sumatra, Indonesia",BMG
1,bmg2008zpyo,2008-12-30T17:28:37.830341Z,1.5656542,98.660568,3.7521908,MLv,67,7,185.60091,"Northern Sumatra, Indonesia",BMG
68,bmg2009alec,2009-01-07T02:39:41.486819Z,2.5655205,95.853447,4.0111995,MLv,10,7,225.70025,"Northern Sumatra, Indonesia",BMG
67,bmg2009alef,2009-01-07T02:43:19.337497Z,2.5792813,97.570419,4.2439164,MLv,135,8,185.18472,"Northern Sumatra, Indonesia",BMG
60,bmg2009anrk,2009-01-08T11:40:46.481528Z,2.0367761,96.7052,4.8138567,MLv,10,14,212.92239,"Northern Sumatra, Indonesia",BMG
55,bmg2009augh,2009-01-12T02:04:24.734673Z,3.3113372,95.997231,4.5060902,MLv,10,8,211.77184,"Northern Sumatra, Indonesia",BMG
49,bmg2009awzb,2009-01-13T13:50:33.896009Z,-1.4236088,99.995071,4.3340349,MLv,26,6,217.18069,"Southern Sumatra, Indonesia",BMG
20,bmg2009blpz,2009-01-21T14:25:13.876152Z,-2.2554076,100.32025,4.5960439,MLv,10,8,198.88353,"Southern Sumatra, Indonesia",BMG
15,bmg2009bpeu,2009-01-23T13:21:03.492847Z,-4.1543775,101.67062,4.84943,MLv,10,7,231.68727,"Southern Sumatra, Indonesia",BMG
3,bmg2009bxaw,2009-01-27T20:31:31.239185Z,0.5026437,97.388107,4.8778715,MLv,10,20,94.09877,"Northern Sumatra, Indonesia",BMG
2,bmg2009bxjs,2009-01-28T00:58:59.567512Z,-0.17775516,98.459328,4.0797472,MLv,10,7,199.07497,"Southern Sumatra, Indonesia",BMG
1,bmg2009bxkf,2009-01-28T01:13:53.588402Z,-0.94442332,98.233879,3.5332003,MLv,10,4,266.18179,"Southern Sumatra, Indonesia",BMG
251,bmg2009cktz,2009-02-04T09:03:44.895303Z,2.382457,96.098694,4.8720512,MLv,10,19,134.30193,"Northern Sumatra, Indonesia",BMG
247,bmg2009cqnx,2009-02-07T12:51:07.254004Z,2.761807,95.546783,4.2378435,MLv,10,10,229.10442,"Northern Sumatra, Indonesia",BMG
239,bmg2009cwmd,2009-02-10T18:50:07.406055Z,5.2308297,94.695618,4.8292027,MLv,10,14,232.91333,"Northern Sumatra, Indonesia",BMG
234,bmg2009cymh,2009-02-11T21:11:36.890661Z,2.3286951,99.740334,3.9945469,MLv,223,8,179.66882,"Northern Sumatra, Indonesia",BMG
213,bmg2009daja,2009-02-12T21:50:03.28648Z,-5.0735703,104.61007,4.5010261,MLv,188,9,124.05991,"Southern Sumatra, Indonesia",BMG
206,bmg2009dbea,2009-02-13T08:26:40.81544Z,1.1499614,96.689468,4.1042548,MLv,10,6,276.15331,"Northern Sumatra, Indonesia",BMG
202,bmg2009dbom,2009-02-13T13:43:46.531044Z,2.0073223,96.555824,3.6499195,MLv,21,7,215.6862,"Northern Sumatra, Indonesia",BMG
201,bmg2009dbon,2009-02-13T13:45:38.185229Z,2.0438013,96.777168,3.7745159,MLv,10,8,245.64168,"Northern Sumatra, Indonesia",BMG
197,bmg2009dcpn,2009-02-14T03:24:09.298722Z,1.3291103,98.164726,2.3331553,MLv,20,6,121.64428,"Northern Sumatra, Indonesia",BMG
187,bmg2009dduv,2009-02-14T19:13:10.811591Z,2.5194397,96.883499,3.885762,MLv,12,8,211.16739,"Northern Sumatra, Indonesia",BMG
182,bmg2009deah,2009-02-14T21:58:52.0126Z,1.7236707,96.907341,4.4798574,MLv,26,14,214.8558,"Northern Sumatra, Indonesia",BMG
178,bmg2009dede,2009-02-14T23:26:56.421903Z,2.8147528,98.440491,2.9092447,MLv,10,6,93.677953,"Northern Sumatra, Indonesia",BMG
174,bmg2009demp,2009-02-15T04:12:42.19045Z,2.2710884,95.004837,4.3029552,MLv,39,11,237.39142,"Northern Sumatra, Indonesia",BMG
141,bmg2009djej,2009-02-17T17:47:36.071833Z,3.188961,97.166092,3.8848671,MLv,10,10,153.2702,"Northern Sumatra, Indonesia",BMG
138,bmg2009djft,2009-02-17T18:28:33.183437Z,-3.87486,100.97066,4.0166626,MLv,19,8,253.76842,"Southern Sumatra, Indonesia",BMG
135,bmg2009djiq,2009-02-17T19:55:29.485792Z,1.596802,95.759682,3.5209961,MLv,68,8,298.82175,"Northern Sumatra, Indonesia",BMG
134,bmg2009djjf,2009-02-17T20:13:21.845784Z,0.62499523,99.70433,2.6506303,MLv,18,6,176.43948,"Northern Sumatra, Indonesia",BMG
124,bmg2009dklo,2009-02-18T10:33:33.907106Z,-1.8161324,100.12648,3.3743344,MLv,25,5,193.53335,"Southern Sumatra, Indonesia",BMG
118,bmg2009dlsy,2009-02-19T03:26:02.898481Z,1.606632,95.495117,3.6546959,MLv,30,10,255.94857,"Northern Sumatra, Indonesia",BMG
116,bmg2009dlwa,2009-02-19T04:59:05.094065Z,1.6594392,99.105331,3.3595073,MLv,10,11,90.037014,"Northern Sumatra, Indonesia",BMG
111,bmg2009dmje,2009-02-19T11:38:11.233045Z,0.20918345,96.885063,4.5737671,MLv,58,14,219.25202,"Northern Sumatra, Indonesia",BMG
107,bmg2009dmqh,2009-02-19T15:13:36.550957Z,0.087859519,100.01188,3.2388722,MLv,4,10,83.100311,"Northern Sumatra, Indonesia",BMG
105,bmg2009dmtp,2009-02-19T16:53:54.675011Z,1.3334738,99.402382,2.5120967,MLv,57,9,107.44543,"Northern Sumatra, Indonesia",BMG
98,bmg2009dodw,2009-02-20T11:14:54.536574Z,-3.6975808,103.42667,4.086601,MLv,10,4,236.49303,"Southern Sumatra, Indonesia",BMG
97,bmg2009doet,2009-02-20T11:41:14.452977Z,1.4944797,98.872711,3.466652,MLv,67,6,127.22736,"Northern Sumatra, Indonesia",BMG
83,bmg2009dsfn,2009-02-22T16:39:31.15206Z,-0.5026226,97.94635,3.9980627,MLv,26,11,222.71793,"Southwest of Sumatra, Indonesia",BMG
79,bmg2009dsit,2009-02-22T18:16:56.664326Z,2.2189283,99.082901,3.1680098,MLv,140,4,277.94913,"Northern Sumatra, Indonesia",BMG
76,bmg2009dsti,2009-02-22T23:37:51.463212Z,0.38660926,98.545998,3.1214511,MLv,35,5,244.66093,"Northern Sumatra, Indonesia",BMG
74,bmg2009dsyg,2009-02-23T02:07:46.278904Z,-2.6773262,99.592354,3.8481869,MLv,41,7,222.88886,"Southern Sumatra, Indonesia",BMG
64,bmg2009dvbb,2009-02-24T05:50:23.088339Z,4.863977,94.44957,3.7791062,MLv,10,5,293.04617,"Northern Sumatra, Indonesia",BMG
62,bmg2009dvjk,2009-02-24T10:02:41.352548Z,-4.5656767,103.31521,4.2858377,MLv,10,10,168.81738,"Southern Sumatra, Indonesia",
58,bmg2009dvpa,2009-02-24T12:53:55.614836Z,1.3415955,96.759315,3.7465501,MLv,74,6,271.48309,"Northern Sumatra, Indonesia",
56,bmg2009dvue,2009-02-24T15:29:24.878872Z,1.3600053,97.053825,4.4191837,MLv,33,12,204.9453,"Northern Sumatra, Indonesia",
54,bmg2009dwqu,2009-02-25T02:55:51.763215Z,0.53921413,100.74916,3.3925661,MLv,10,9,108.50909,"Northern Sumatra, Indonesia",
52,bmg2009dwsm,2009-02-25T03:46:41.12759Z,-1.568211,99.557304,3.6538915,MLv,14,5,225.814,"Southern Sumatra, Indonesia",
48,bmg2009dxvy,2009-02-25T18:40:35.974142Z,-6.0415034,103.93367,4.3523642,MLv,16,22,218.16232,"Southwest of Sumatra, Indonesia",
47,bmg2009dygo,2009-02-26T00:03:30.778765Z,1.2556528,96.877922,4.7510298,MLv,19,19,200.26805,"Northern Sumatra, Indonesia",
41,bmg2009dyud,2009-02-26T06:54:23.109661Z,0.97479624,97.17469,4.0727307,MLv,27,5,311.4319,"Northern Sumatra, Indonesia",
40,bmg2009dyug,2009-02-26T06:58:34.63966Z,0.87615466,97.1782,3.588593,MLv,18,5,311.17655,"Northern Sumatra, Indonesia",
39,bmg2009dyuk,2009-02-26T07:02:59.261997Z,1.0012292,97.015686,4.168525,MLv,14,9,250.93943,"Northern Sumatra, Indonesia",
37,bmg2009dzkv,2009-02-26T15:21:25.08574Z,-3.4895935,100.23948,4.5938198,mb,15,40,210.78699,"Southern Sumatra, Indonesia",
18,bmg2009edaa,2009-02-28T14:27:54.819836Z,2.3309438,96.050674,3.8902965,MLv,4,10,222.78795,"Northern Sumatra, Indonesia",
17,bmg2009edet,2009-02-28T16:51:39.624381Z,-1.2002738,99.781807,4.4219103,MLv,27,13,187.44586,"Southern Sumatra, Indonesia",
15,bmg2009ednv,2009-02-28T21:26:50.732849Z,2.8216634,95.463188,4.3178459,MLv,19,10,230.92416,"Northern Sumatra, Indonesia",
10,bmg2009effn,2009-03-01T19:31:42.227803Z,-2.1920385,102.17774,4.208741,MLv,244,8,170.74857,"Southern Sumatra, Indonesia",
240,bmg2009effn,2009-03-01T19:31:42.227803Z,-2.1920385,102.17774,4.208741,MLv,244,8,170.74857,"Southern Sumatra, Indonesia",
6,bmg2009egrc,2009-03-02T14:31:26.525473Z,-4.783412,102.90364,3.5291107,MLv,36,6,243.10691,"Southern Sumatra, Indonesia",
236,bmg2009egrc,2009-03-02T14:31:26.525473Z,-4.783412,102.90364,3.5291107,MLv,36,6,243.10691,"Southern Sumatra, Indonesia",
4,bmg2009egzd,2009-03-02T18:35:21.433466Z,4.7922711,96.034286,4.3261237,MLv,130,15,157.5981,"Northern Sumatra, Indonesia",
234,bmg2009egzd,2009-03-02T18:35:21.433466Z,4.7922711,96.034286,4.3261237,MLv,130,15,157.5981,"Northern Sumatra, Indonesia",
3,bmg2009ehcf,2009-03-02T20:09:09.46197Z,1.155208,97.187408,3.6895399,MLv,31,8,204.9106,"Northern Sumatra, Indonesia",
233,bmg2009ehcf,2009-03-02T20:09:09.46197Z,1.155208,97.187408,3.6895399,MLv,31,8,204.9106,"Northern Sumatra, Indonesia",
226,bmg2009eigj,2009-03-03T11:24:09.376294Z,-4.3090601,102.36245,4.3552333,MLv,32,12,212.99901,"Southern Sumatra, Indonesia",BMG
223,bmg2009eirv,2009-03-03T17:11:50.93799Z,1.9397089,99.01889,3.9305519,MLv,10,11,92.640945,"Northern Sumatra, Indonesia",BMG
220,bmg2009ekhq,2009-03-04T14:19:38.859184Z,2.812479,95.840172,4.4636844,MLv,32,16,214.97894,"Northern Sumatra, Indonesia",BMG
217,bmg2009ekkv,2009-03-04T15:56:06.306239Z,0.94119853,97.111259,3.3863777,MLv,25,8,248.7416,"Northern Sumatra, Indonesia",BMG
212,bmg2009endm,2009-03-06T03:39:20.084637Z,3.2249379,96.360481,3.9304121,MLv,10,8,187.33968,"Northern Sumatra, Indonesia",BMG
208,bmg2009enoj,2009-03-06T09:09:18.382611Z,-1.4921911,99.595436,4.5027709,MLv,10,12,162.35371,"Southern Sumatra, Indonesia",BMG
