No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
457,bmg2023hkuf,2023-04-16T12:19:09.876627Z,0.621368825,98.51517487,2.974595587,MLv,34,25,88.68525696,"Northern Sumatra, Indonesia",BMKG
449,bmg2023hkyn,2023-04-16T14:29:28.618524Z,3.818857193,95.90644073,3.331218209,M,31,33,174.4704437,"Northern Sumatra, Indonesia",BMKG
443,bmg2023hlmg,2023-04-16T21:26:17.967584Z,2.278763056,98.04803467,2.336030669,MLv,44,32,112.1437378,"Northern Sumatra, Indonesia",BMKG
409,bmg2023hntb,2023-04-18T03:08:53.614027Z,4.74416256,96.20561218,3.77353116,MLv,10,51,70.86791992,"Northern Sumatra, Indonesia",BMKG
407,bmg2023hnxr,2023-04-18T05:29:05.165172Z,1.178705454,99.4291153,3.514361784,MLv,10,67,45.22562218,"Northern Sumatra, Indonesia",BMKG
378,bmg2023hpgk,2023-04-18T23:01:23.768049Z,3.964064121,96.65787506,3.620878172,MLv,64,55,107.2410889,"Northern Sumatra, Indonesia",BMKG
341,bmg2023hsmi,2023-04-20T17:25:53.111155Z,0.356201768,98.59197235,3.423478768,MLv,12,40,89.79675293,"Northern Sumatra, Indonesia",BMKG
298,bmg2023huxr,2023-04-22T01:25:35.29228Z,1.787326932,99.17432404,3.172754143,M,10,54,44.79159546,"Northern Sumatra, Indonesia",BMKG
296,bmg2023huxx,2023-04-22T01:32:59.318053Z,1.766518593,99.11293793,2.959605133,M,10,20,68.46228027,"Northern Sumatra, Indonesia",BMKG
293,bmg2023hvef,2023-04-22T04:43:36.834875Z,3.451652765,96.66311646,2.720400366,MLv,33,24,131.9607391,"Northern Sumatra, Indonesia",BMKG
245,bmg2023hxhk,2023-04-23T08:37:14.09574Z,0.599441648,100.2398911,3.575992933,MLv,176,77,74.57756233,"Northern Sumatra, Indonesia",BMKG
237,bmg2023hyaw,2023-04-23T18:27:00.458956Z,0.281731755,97.54094696,3.470582225,MLv,23,26,209.8297272,"Northern Sumatra, Indonesia",BMKG
221,bmg2023hzic,2023-04-24T11:14:25.306146Z,0.43752116,99.90227509,2.395260979,MLv,10,29,67.66848755,"Northern Sumatra, Indonesia",BMKG
206,bmg2023iacm,2023-04-24T21:32:41.483398Z,0.061414193,98.68196106,3.371747817,M,22,15,97.13108826,"Northern Sumatra, Indonesia",BMKG
197,bmg2023iaja,2023-04-25T00:50:45.741035Z,3.101905346,97.66601562,2.952058663,MLv,48,38,104.9511261,"Northern Sumatra, Indonesia",BMKG
190,bmg2023iawt,2023-04-25T07:46:18.452211Z,5.169579029,96.18060303,2.469577179,MLv,14,14,109.5917091,"Northern Sumatra, Indonesia",BMKG
181,bmg2023ibjp,2023-04-25T14:16:16.997138Z,1.885189891,98.96222687,2.906948731,MLv,115,54,61.00725174,"Northern Sumatra, Indonesia",BMKG
180,bmg2023ibke,2023-04-25T14:33:35.442911Z,0.453426242,99.98859406,3.120954166,MLv,146,50,65.59986496,"Northern Sumatra, Indonesia",BMKG
178,bmg2023ibng,2023-04-25T16:07:11.130976Z,1.95353353,97.85723114,3.303392083,MLv,27,46,82.92182922,"Northern Sumatra, Indonesia",BMKG
158,bmg2023icay,2023-04-25T23:02:26.054461Z,0.062680423,100.0985794,2.556477989,MLv,10,24,102.0445404,"Northern Sumatra, Indonesia",BMKG
155,bmg2023icir,2023-04-26T02:56:26.387464Z,4.723610878,95.4556427,4.708712703,MLv,62,57,189.0518494,"Northern Sumatra, Indonesia",BMKG
151,bmg2023icpw,2023-04-26T06:34:00.572413Z,4.560388565,95.0195694,4.564024487,MLv,19,43,223.855793,"Northern Sumatra, Indonesia",BMKG
136,bmg2023idmh,2023-04-26T17:53:41.285495Z,4.110454559,95.83876038,3.113626465,MLv,19,20,209.374855,"Northern Sumatra, Indonesia",BMKG
132,bmg2023idpt,2023-04-26T19:39:12.945378Z,3.146735907,98.49944305,2.415666543,MLv,10,13,199.4350586,"Northern Sumatra, Indonesia",BMKG
127,bmg2023idyw,2023-04-27T00:15:26.125079Z,0.7177248,98.30230713,3.464169546,MLv,10,26,71.90135193,"Northern Sumatra, Indonesia",BMKG
114,bmg2023ietb,2023-04-27T10:27:27.614804Z,1.888001561,99.39162445,3.98749003,MLv,153,50,73.10593414,"Northern Sumatra, Indonesia",BMKG
109,bmg2023ifby,2023-04-27T14:56:56.69036Z,3.042796373,98.48897552,4.89710014,MLv,10,103,75.73854065,"Northern Sumatra, Indonesia",BMKG
106,bmg2023ifhk,2023-04-27T17:42:49.968343Z,0.535394073,100.1043777,3.512852001,MLv,168,71,61.24668121,"Northern Sumatra, Indonesia",BMKG
75,bmg2023ihez,2023-04-28T18:45:16.190662Z,5.315937519,93.82085419,4.025217901,MLv,10,32,289.74617,"Northern Sumatra, Indonesia",BMKG
64,bmg2023ihkq,2023-04-28T21:35:34.149409Z,2.562241077,96.64660645,2.726278612,M,13,27,140.3219681,"Northern Sumatra, Indonesia",BMKG
62,bmg2023ihks,2023-04-28T21:38:59.160322Z,2.611071825,96.63382721,2.554578683,MLv,15,22,141.3016205,"Northern Sumatra, Indonesia",BMKG
55,bmg2023ihwc,2023-04-29T03:23:38.721524Z,4.967530727,95.94130707,3.379558152,MLv,10,29,81.68304443,"Northern Sumatra, Indonesia",BMKG
49,bmg2023iigo,2023-04-29T08:41:09.7529Z,1.749721527,96.75276947,3.813544864,MLv,12,36,187.4166565,"Northern Sumatra, Indonesia",BMKG
44,bmg2023iiju,2023-04-29T10:19:38.746289Z,2.363590479,95.09499359,3.564020319,MLv,10,27,236.6944377,"Northern Sumatra, Indonesia",BMKG
32,bmg2023iiyw,2023-04-29T17:56:01.847041Z,5.009604931,96.0027771,2.228174305,MLv,10,13,141.6183472,"Northern Sumatra, Indonesia",BMKG
30,bmg2023ijar,2023-04-29T18:50:47.541028Z,2.358029127,98.97055054,2.354324182,MLv,134,33,154.2926025,"Northern Sumatra, Indonesia",BMKG
29,bmg2023ijbs,2023-04-29T19:22:41.516892Z,3.061077833,98.19754028,1.683109341,MLv,10,12,101.9771156,"Northern Sumatra, Indonesia",BMKG
