No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
442,bmg2023hlmw,2023-04-16T21:44:33.041814Z,-5.344898701,103.891777,2.892652419,MLv,52,28,144.3945923,"Southern Sumatra, Indonesia",BMKG
441,bmg2023hlna,2023-04-16T21:49:53.398629Z,-3.668598413,101.6609268,3.194603973,MLv,25,47,176.4685211,"Southern Sumatra, Indonesia",BMKG
422,bmg2023hmua,2023-04-17T14:29:47.914045Z,-4.514908314,102.0677795,3.439616597,MLv,29,38,169.8993835,"Southern Sumatra, Indonesia",BMKG
408,bmg2023hnuk,2023-04-18T03:49:18.635724Z,-2.625808716,102.5188904,3.31322999,MLv,180,36,126.1352234,"Southern Sumatra, Indonesia",BMKG
396,bmg2023houy,2023-04-18T17:13:36.54897Z,-0.472017914,99.39505005,2.948632145,MLv,35,27,117.1809387,"Southern Sumatra, Indonesia",BMKG
393,bmg2023howx,2023-04-18T18:13:29.360151Z,-0.245231867,100.3064423,2.292836443,M,10,12,94.47799683,"Southern Sumatra, Indonesia",BMKG
379,bmg2023hpfr,2023-04-18T22:39:30.580825Z,-3.817256927,101.8006058,4.595962737,MLv,17,33,137.5037689,"Southern Sumatra, Indonesia",BMKG
353,bmg2023hrqf,2023-04-20T06:15:10.709583Z,-4.210422039,102.0954056,3.197063258,MLv,44,40,133.5517273,"Southern Sumatra, Indonesia",BMKG
351,bmg2023hrsm,2023-04-20T07:23:55.328062Z,-5.366787434,102.4767227,3.815302373,M,10,51,162.6960144,"Southern Sumatra, Indonesia",BMKG
350,bmg2023hrsp,2023-04-20T07:27:20.928767Z,-5.40957737,102.3813019,3.499018533,MLv,12,39,188.3801346,"Southern Sumatra, Indonesia",BMKG
316,bmg2023huil,2023-04-21T17:44:35.950203Z,-3.840114117,101.9290009,3.941942289,MLv,31,75,132.0330811,"Southern Sumatra, Indonesia",BMKG
294,bmg2023hvdv,2023-04-22T04:32:40.20354Z,-5.963440895,103.8410873,3.100063748,MLv,10,22,241.791626,"Southern Sumatra, Indonesia",BMKG
270,bmg2023hwbh,2023-04-22T16:23:47.54041Z,-0.120291613,98.58433533,2.797846513,MLv,14,21,169.35289,"Southern Sumatra, Indonesia",BMKG
269,bmg2023hwdl,2023-04-22T17:29:02.482516Z,-0.498382479,99.43190002,2.694709816,MLv,49,18,116.4938354,"Southern Sumatra, Indonesia",BMKG
266,bmg2023hwnc,2023-04-22T22:21:07.492871Z,-0.858092606,98.4830246,4.012412067,MLv,26,50,192.4178772,"Southern Sumatra, Indonesia",BMKG
265,bmg2023hwne,2023-04-22T22:23:58.827283Z,-0.785548508,98.5244751,4.630811727,MLv,33,94,184.799469,"Southern Sumatra, Indonesia",BMKG
263,bmg2023hwot,2023-04-22T23:11:17.566452Z,-0.960480213,98.42993164,4.672932455,MLv,23,90,195.2936554,"Southern Sumatra, Indonesia",BMKG
253,bmg2023hwvo,2023-04-23T02:38:22.239743Z,-0.786395371,98.47651672,3.254195265,MLv,34,40,195.2301483,"Southern Sumatra, Indonesia",BMKG
