No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
439,bmg2023hlqz,2023-04-16T23:49:50.734444Z,-6.374455929,103.3640671,3.517620112,MLv,23,31,217.1304245,"Southwest of Sumatra, Indonesia",BMKG
400,bmg2023horh,2023-04-18T15:23:41.951763Z,-7.254586697,104.8371735,3.607503774,M,10,35,212.0301971,"Southwest of Sumatra, Indonesia",BMKG
380,bmg2023hpfj,2023-04-18T22:30:15.30798Z,-6.540883541,103.9780807,3.522142705,MLv,11,18,242.2585449,"Southwest of Sumatra, Indonesia",BMKG
362,bmg2023hqnw,2023-04-19T15:55:21.326859Z,-4.013548851,100.268219,3.831419138,MLv,32,63,216.8749542,"Southwest of Sumatra, Indonesia",BMKG
357,bmg2023hrea,2023-04-20T00:05:14.653735Z,-4.056574345,100.2036972,4.71363542,MLv,30,134,210.55896,"Southwest of Sumatra, Indonesia",BMKG
468,bmg2023jctl,2023-05-10T13:54:52.446707Z,-7.241666794,104.8355103,4.091203443,MLv,10,44,227.9540939,"Southwest of Sumatra, Indonesia",BMKG
308,bmg2023jsac,2023-05-18T22:19:13.345348Z,-6.167878151,103.8212967,3.143849964,MLv,10,18,230.807457,"Southwest of Sumatra, Indonesia",BMKG
260,bmg2023jvlf,2023-05-20T19:20:38.564841Z,-6.416092396,103.9472427,3.343222042,MLv,21,25,205.8028107,"Southwest of Sumatra, Indonesia",BMKG
409,bmg2023lqzb,2023-06-15T19:43:48.856878Z,-6.537027836,103.9798737,3.573904305,M,10,36,200.3084717,"Southwest of Sumatra, Indonesia",BMKG
312,bmg2023lydp,2023-06-19T17:58:01.122996Z,-7.131653786,104.8677979,3.658914407,M,20,22,219.7521133,"Southwest of Sumatra, Indonesia",BMKG
267,bmg2023majj,2023-06-20T23:09:38.017985Z,-6.198758125,103.9715424,3.959686423,MLv,25,35,221.7865067,"Southwest of Sumatra, Indonesia",BMKG
217,bmg2023mdsc,2023-06-22T18:59:04.746079Z,-4.005834579,100.7497787,4.522773284,MLv,10,65,197.5063477,"Southwest of Sumatra, Indonesia",BMKG
178,bmg2023mhao,2023-06-24T14:39:21.877108Z,-0.702413797,97.06591034,4.03375059,MLv,27,54,228.3392563,"Southwest of Sumatra, Indonesia",BMKG
680,bmg2023mvqm,2023-07-02T14:36:29.403359Z,-7.042491436,104.5762939,3.785585677,MLv,24,31,207.6155243,"Southwest of Sumatra, Indonesia",BMKG
675,bmg2023mvxt,2023-07-02T18:17:20.916372Z,-0.172996849,97.14983368,4.218455008,MLv,24,37,232.828867,"Southwest of Sumatra, Indonesia",BMKG
674,bmg2023mvyg,2023-07-02T18:32:14.648414Z,-0.080702677,97.24256134,4.649208394,MLv,29,67,209.6347504,"Southwest of Sumatra, Indonesia",BMKG
672,bmg2023mvzq,2023-07-02T19:14:33.657843Z,-0.073391579,97.28621674,3.469920587,MLv,36,25,230.7962978,"Southwest of Sumatra, Indonesia",BMKG
667,bmg2023mwdq,2023-07-02T21:18:02.098835Z,-0.167717442,97.14579773,3.763044508,M,28,30,214.5978394,"Southwest of Sumatra, Indonesia",BMKG
659,bmg2023mwth,2023-07-03T05:09:34.916514Z,-0.004688462,97.33605957,3.939488119,MLv,36,37,217.2658157,"Southwest of Sumatra, Indonesia",BMKG
